strategy_name,train_window_days,test_window_days,strategy_cumulative_return,buy_hold_cumulative_return,strategy_sharpe,buy_hold_sharpe,avg_bullish_probability,threshold
threshold_0.60,1000,20,0.6765323325420509,1.5692517273993412,0.638913385492868,0.6275318300893721,0.21755490055900073,0.6
threshold_0.50,1000,20,0.6187255255730115,1.5692517273993412,0.5970151017564669,0.6275318300893721,0.21755490055900073,0.5
threshold_0.70,1000,20,0.5830266496471022,1.5692517273993412,0.5836193426150919,0.6275318300893721,0.21755490055900073,0.7
probability_weighted,1000,20,0.5335540105468475,1.5692517273993412,0.5487711023439755,0.6275318300893721,0.21755490055900073,
threshold_0.70,750,20,0.842184148566693,2.494720276354242,0.5422154838113978,0.7102421644226605,0.32920215723135454,0.7
probability_weighted,750,20,0.7839785623428699,2.494720276354242,0.5165063777942959,0.7102421644226605,0.32920215723135454,
threshold_0.60,750,20,0.6558651123333323,2.494720276354242,0.4575559899160152,0.7102421644226605,0.32920215723135454,0.6
threshold_0.50,750,20,0.6594241504730629,2.494720276354242,0.4575113778113433,0.7102421644226605,0.32920215723135454,0.5
threshold_0.60,1250,20,0.06531397977773579,1.424897448217326,0.1480105639449041,0.675529875312477,0.23723953746585227,0.6
threshold_0.70,1250,20,0.06553194588780853,1.424897448217326,0.1479998352073146,0.675529875312477,0.23723953746585227,0.7
threshold_0.50,1250,20,0.05950179049812965,1.424897448217326,0.14269439774869233,0.675529875312477,0.23723953746585227,0.5
probability_weighted,1250,20,0.04586472156448451,1.424897448217326,0.1292353867073109,0.675529875312477,0.23723953746585227,
probability_weighted,1500,20,-0.00906067197028182,0.4579583256023376,0.041678078134006,0.45368757325756087,0.1909843841885936,
threshold_0.70,1500,20,-0.06764554456334637,0.4579583256023376,-0.05845132298021091,0.45368757325756087,0.1909843841885936,0.7
threshold_0.50,1500,20,-0.08451041077007881,0.4579583256023376,-0.08522491283877229,0.45368757325756087,0.1909843841885936,0.5
threshold_0.60,1500,20,-0.10289597063118927,0.4579583256023376,-0.11989139691725985,0.45368757325756087,0.1909843841885936,0.6
