date,predicted_state,bullish_probability,buy_hold_return,probability_weighted_exposure,probability_weighted_gross_return,probability_weighted_net_return,probability_weighted_turnover,probability_weighted_transaction_cost,threshold_0.60_exposure,threshold_0.60_gross_return,threshold_0.60_net_return,threshold_0.60_turnover,threshold_0.60_transaction_cost
2019-02-19,0,7.925786587136352e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-20,0,0.0003015327409404439,0.01500709751684548,7.925786587136352e-91,1.1894305221086116e-92,1.1101726562372481e-92,7.925786587136352e-91,7.925786587136352e-94,0.0,0.0,0.0,0.0,0.0
2019-02-21,0,0.00020129682023440127,0.010166898955711101,0.0003015327409404439,3.065652908980105e-06,2.7641201680396613e-06,0.0003015327409404439,3.015327409404439e-07,0.0,0.0,0.0,0.0,0.0
2019-02-22,0,7.037107221969014e-05,-0.011668617600586795,0.00020129682023440127,-2.3488556195292907e-06,-2.4490915402353335e-06,0.00010023592070604263,1.0023592070604263e-07,0.0,-0.0,-0.0,0.0,0.0
2019-02-25,0,1.5295160223335743e-05,-4.087526983809209e-05,7.037107221969014e-05,-2.8764365657757006e-09,-1.3380218458048685e-07,0.00013092574801471112,1.3092574801471114e-07,0.0,-0.0,-0.0,0.0,0.0
2019-02-26,0,1.1947028090438581e-05,-0.009778165186724586,1.5295160223335743e-05,-1.495586032211962e-07,-2.046345152175506e-07,5.5075911996354396e-05,5.50759119963544e-08,0.0,-0.0,-0.0,0.0,0.0
2019-02-27,0,7.165517916758793e-06,0.0026633291254127833,1.1947028090438581e-05,3.181886787538974e-08,2.8470735742492577e-08,3.3481321328971623e-06,3.3481321328971623e-09,0.0,0.0,0.0,0.0,0.0
2019-02-28,0,1.2214184791268296e-05,0.006170704578331687,7.165517916758793e-06,4.4216294215061213e-08,3.9434784041381423e-08,4.781510173679788e-06,4.781510173679788e-09,0.0,0.0,0.0,0.0,0.0
2019-03-01,0,0.00016878353372347927,-0.00406140620517581,1.2214184791268296e-05,-4.960676590242107e-08,-5.4655432776930576e-08,5.048666874509503e-06,5.048666874509504e-09,0.0,-0.0,-0.0,0.0,0.0
2019-03-05,0,0.0164054366368473,0.009461151100560006,0.00016878353372347927,1.5968865158443028e-06,1.4403171669120919e-06,0.00015656934893221096,1.5656934893221097e-07,0.0,0.0,0.0,0.0,0.0
2019-03-06,0,0.30315551861327267,0.02193687205054995,0.0164054366368473,0.00035988396443592367,0.00034364731133279986,0.01623665310312382,1.623665310312382e-05,0.0,0.0,0.0,0.0,0.0
2019-03-07,1,0.9872639955266872,0.004308865317302235,0.30315551861327267,0.0013062562999015027,0.0010195062179250774,0.2867500819764254,0.0002867500819764254,0.0,0.0,0.0,0.0,0.0
2019-03-08,1,0.9990465132237494,-0.00247972346042713,0.9872639955266872,-0.0024481416913425514,-0.003132250168255966,0.6841084769134145,0.0006841084769134145,1.0,-0.00247972346042713,-0.00347972346042713,1.0,0.001
2019-03-11,1,0.9999862731636812,0.02920043432897379,0.9990465132237494,0.02917259210098034,0.02916080958328328,0.011782517697062178,1.1782517697062179e-05,1.0,0.02920043432897379,0.02920043432897379,0.0,0.0
